Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ127,4370.816,14.958,11.241180402742694,13.638791822222199,8.486,2.079,14.005999999999998,2.252,2.595,73.006,16.971,2.1430000000000002,S1K3,2.0,3.0,
TZ127,4371.126,5.539,8.559898874000485,6.055440666666738,8.481,2.055,13.357999999999999,2.338,2.637,66.57,16.486,1.129,S1K3,3.0,5.0,
TZ127,4371.585999999999,4.575,8.441466090460656,5.8689613333334,8.495,2.07,10.515,2.986,2.62,65.563,11.767999999999999,1.7409999999999999,S1K3,3.0,5.0,
TZ127,4371.835999999999,9.802,7.963007027905066,8.861299333333314,8.493,2.319,11.380999999999998,3.1210000000000004,2.6260000000000003,65.113,12.350999999999999,1.35,S1K3,5.0,5.0,
TZ127,4371.956,8.897,7.636943174288646,8.455901999999957,8.488999999999999,2.381,11.754000000000001,3.1069999999999998,2.635,64.775,12.657,1.104,S1K3,5.0,5.0,
TZ127,4372.056,6.472,7.47895964738322,8.027130666666618,8.481,2.431,12.059000000000001,3.049,2.6430000000000002,64.788,12.925999999999998,0.9329999999999999,S1K3,5.0,6.0,
TZ127,4372.166,7.782,7.362571036093744,7.521527333333358,8.47,2.475,12.342,3.0210000000000004,2.6510000000000002,64.903,13.359000000000002,0.68,S1K3,5.0,6.0,
TZ127,4372.266,5.931,7.179114203045705,6.72102197777782,8.466000000000001,2.6260000000000003,13.097000000000001,2.772,2.659,64.695,14.024000000000001,0.5529999999999999,S1K3,5.0,6.0,
TZ127,4374.138,11.149000000000001,8.654794737238761,9.462838041269828,8.48,2.65,13.949000000000002,1.4669999999999999,2.597,64.41199999999999,13.158,1.6540000000000001,S1K3,6.0,2.0,
TZ127,4374.248,10.633,9.287319463111247,9.965469552380949,8.477,2.55,13.683,1.228,2.573,64.83,13.120999999999999,2.066,S1K3,6.0,2.0,
TZ127,4374.358,14.062000000000001,10.168772604057263,9.463409288888894,8.472999999999999,2.364,12.720999999999998,1.3119999999999998,2.543,65.76,13.470999999999998,3.0410000000000004,S1K3,6.0,2.0,
TZ127,4374.448,14.177999999999999,10.839958424840592,12.541992577777771,8.472000000000001,2.126,11.530999999999999,1.505,2.52,66.468,13.82,3.77,S1K3,6.0,2.0,
TZ127,4374.498,14.844000000000001,11.145587881722735,13.21988933333335,8.471,1.9780000000000002,10.822000000000001,1.611,2.508,66.736,13.966,4.788,S1K3,6.0,2.0,
TZ127,4374.538,14.914000000000001,11.385330085453509,11.816481999999997,8.472000000000001,1.8430000000000002,10.166,1.7080000000000002,2.498,66.926,14.091,5.612,S1K3,6.0,2.0,
